parameter,median,hpd_min,hpd_max
n_sr__452,87.35310913803451,68.05619997017578,107.3884902069863
n_sr__451,39.11244648104953,30.472235107635203,48.08330942478884
n_sr__450,61.49178982059237,47.907825901666776,75.595597387655
n_sr__449,60.15465021609864,46.86606973283173,73.95177034200692
n_sr__448,69.56206194577426,54.19531880243145,85.51687377534867
n_sr__447,50.071961955463664,39.010717413105965,61.5565083963065
n_sr__446,58.08161174825095,45.2509798762043,71.40325806350995
n_sr__445,59.58921602509261,46.425543886038206,73.25664769917579
n_sr__444,70.63548836648516,55.03161786335822,86.83650216414797
n_sr__443,92.89256148696774,72.3719487798551,114.19847590979019
n_sr__442,62.15035433270499,48.42090893410669,76.40521079875775
n_sr__441,73.90351806960197,57.57771708270417,90.85408985200844
n_sr__440,139.65643606397077,108.80535831727258,171.68815128147804
n_sr__439,67.72835392553833,52.76668963349263,83.26258497307593
n_sr__438,72.77431074352428,56.69795950624637,89.46588660343795
n_sr__437,66.94008342398442,52.15255356651452,82.29351609994846
n_sr__436,66.07308462136805,51.477080827570276,81.22766173777443
n_sr__435,66.54108546712024,51.841697032522895,81.80300364302366
n_sr__434,76.54222382356437,59.63351438890362,94.09801133133134
n_sr__433,71.19693115338805,55.4690340349669,87.52671793114291
n_sr__432,57.41041352592332,44.72805400797705,70.57811326401026
n_sr__431,57.99278981035681,45.18177932196289,71.2940638527734
n_sr__430,50.171803950347766,39.08850361712667,61.67925023338197
n_sr__429,74.66612309279049,58.17185735393785,91.79160659151071
n_sr__428,39.15836465683222,30.50800963912205,48.13975943119411
n_sr__427,74.82301375011565,58.29408977421155,91.98448181923854
n_sr__426,57.741619069285726,44.98609394396473,70.98528438362857
n_sr__425,68.7517828009134,53.56403595447724,84.52074833835573
n_sr__424,50.92116033481713,39.67232196605101,62.60047961547495
n_sr__423,66.33497524482776,51.68111799140292,81.54961981036305
n_sr__422,53.3665207294569,41.57748524711721,65.60670988459292
n_sr__421,43.667711473015274,34.021210390478096,53.68337374770766
n_sr__420,74.94114017927791,58.38612125384813,92.12970182350001
n_sr__419,74.66932083848806,58.17434869537717,91.79553777479565
n_sr__418,87.93152142239902,68.50683695926924,108.09956760935928
n_sr__417,80.20481314566055,62.48701226405455,98.60065515739846
n_sr__416,65.15391428001016,50.76096160553712,80.09766972975687
n_sr__415,50.55156401416154,39.38437204240226,62.14611237825913
n_sr__414,74.09019737315293,57.723157630134274,91.08358607439878
n_sr__413,69.01000694459722,53.76521658940923,84.8381989843468
n_sr__412,76.80662221798126,59.83950533965267,94.42305235928964
n_sr__411,76.80662221798126,59.83950533965267,94.42305235928964
n_sr__410,69.57707910941429,54.20701857021024,85.53533528801154
n_sr__409,69.57707910941429,54.20701857021024,85.53533528801154
n_sr__408,96.2608977710809,74.99619615903158,118.33937657869181
n_sr__407,81.9003276768933,63.80797584655939,100.68505429819345
n_sr__406,81.9003276768933,63.80797584655939,100.68505429819345
n_sr__405,139.9522473516863,109.03582283477924,172.05181008981833
n_sr__404,78.48833976080127,61.14971978441452,96.49049002304432
n_sr__403,54.98526298661909,42.83863608468525,67.59672819929546
n_sr__402,44.932614284511104,35.00668737614518,55.23839571001083
n_sr__401,81.1597848901227,63.23102411032191,99.77466000782765
n_sr__400,80.00562243501582,62.33182416634852,98.35577790127708
n_sr__399,77.21872599601417,60.1605725277931,94.92967659932235
n_sr__398,61.67391917865493,48.04972161820226,75.81950008531167
n_sr__397,55.291743863453796,43.07741320488984,67.97350378250432
n_sr__396,62.79036210486166,48.91953453947046,77.19201128074214
n_sr__395,49.84918236607764,38.83715138398421,61.2826318967844
n_sr__394,66.97313609877062,52.17830467562781,82.33414976345072
n_sr__393,56.42789281090495,43.96257895029515,69.37024078844463
n_sr__392,80.58190803417487,62.78080426978509,99.06424084017404
n_sr__391,55.68841696390462,43.38645845941435,68.4611581520337
n_sr__390,75.20542550848012,58.59202411627456,92.45460385351285
n_sr__389,82.34676422293731,64.15579145554425,101.23388589818988
n_sr__388,74.03667246684537,57.681456747784495,91.0177846514894
n_sr__387,85.4981912798628,66.61104636397154,105.10812686087725
n_sr__386,59.276539120618835,46.1819394837805,72.87225496232459
n_sr__385,40.68201079876318,31.695071754509204,50.01287030734062
n_sr__384,53.59897202056219,41.75858643180189,65.89247639530768
n_sr__383,69.2262701245629,53.933705729259685,85.10406446541603
n_sr__382,79.28654559075619,61.77159639667032,97.47177299967908
n_sr__381,69.29893610619587,53.9903192903091,85.19339717645487
n_sr__380,45.835632407439526,35.710222517105045,56.34853081347455
n_sr__379,43.39452928920831,33.80837605048823,53.347534273189126
n_sr__378,86.57835910533811,67.45259760647778,106.43604286859092
n_sr__377,52.68423588942926,41.045921872124275,64.76793563162497
n_sr__376,78.98678967838197,61.53805864951874,97.10326482431903
n_sr__375,73.0509792056379,56.91350998142512,89.80601197192736
n_sr__374,63.742289423354684,49.66117449463294,78.36227343315407
n_sr__373,80.14863203172021,62.44324194880647,98.5315882968856
n_sr__372,89.37942926269812,69.63489189045747,109.87956878462232
n_sr__371,66.55014789728672,51.84875750885524,81.81414463963829
n_sr__370,52.51975497166238,40.91777593271492,64.56572923506805
n_sr__369,78.03490211336975,60.79644966601676,95.933051543279
n_sr__368,49.76922829571334,38.774859723677714,61.18433949497924
n_sr__367,68.59705343560609,53.44348738178736,84.33053011836334
n_sr__366,55.337522458175066,43.11307898974223,68.02978219342096
n_sr__365,59.875440666704044,46.64853951422035,73.60852106036454
n_sr__364,71.04734372991236,55.352491513406534,87.34282101299634
n_sr__363,62.34204424860696,48.57025321478107,76.6408668716754
n_sr__362,97.02745755438431,75.59341755637364,119.28175514534666
n_sr__361,74.29011388252937,57.878911192585754,91.32935559904683
n_sr__360,63.34940131860455,49.35507810394206,77.87927218905719
n_sr__359,130.3793942598386,101.577679550212,160.28331952719455
n_sr__358,53.52057918418845,41.6975111180423,65.79610331340723
n_sr__357,68.45505218184817,53.33285519230808,84.15595934007011
n_sr__356,61.35809785080599,47.8036674175559,75.43124171754974
n_sr__355,52.926727161028495,41.23484513580458,65.06604490103018
n_sr__354,43.93720490044377,34.23117084602112,54.01467840964614
