parameter,median,hpd_min,hpd_max
n_sr__483,82.86355308516171,65.8582438385946,103.26889504530767
n_sr__482,49.66580127767034,39.47335504214234,61.89611992879024
n_sr__481,83.06962339394768,66.02202427207389,103.52571064514203
n_sr__480,77.64416147717299,61.70997898136887,96.76421615938303
n_sr__479,84.15825971053727,66.88724997529496,104.88242617729956
n_sr__478,59.65812537901569,47.415048255615076,74.34907699448613
n_sr__477,54.060628357010025,42.966273009612884,67.37318336019015
n_sr__476,64.17532755963026,51.00522743093237,79.97865067941969
n_sr__475,66.50988267233893,52.86068370987555,82.88809539830622
n_sr__474,72.2787765140946,57.445681615032306,90.07759271637946
n_sr__473,55.85814857946701,44.394905028248544,69.61334710267359
n_sr__472,75.83421189889849,60.271468366948824,94.50856230341051
n_sr__471,69.66684952270823,55.36977588467407,86.82247265095968
n_sr__470,60.63627860640079,48.19246427704044,75.56810272070916
n_sr__469,83.39124298519656,66.27764089331589,103.92652980599865
n_sr__468,79.45275915323678,63.147415131780015,99.01818520409277
n_sr__467,131.71531603492886,104.68461799834691,164.15051782164417
n_sr__466,53.71727743738412,42.69338477654751,66.9452814809874
n_sr__465,60.2762942321432,47.90635611711669,75.11947136012833
n_sr__464,71.21716385083546,56.6019337544113,88.75455547480466
n_sr__463,59.46063373982889,47.25808597189209,74.10295258151838
n_sr__462,59.26574507130148,47.10319247559141,73.86007212676654
n_sr__461,71.9544471752666,57.18791134227326,89.67339652632323
n_sr__460,65.42866988636545,52.001358075759114,81.54063145838094
n_sr__459,64.00354113088993,50.868695118583716,79.76456144453542
n_sr__458,44.3258251851542,35.22925212234889,55.241162349602746
n_sr__457,84.17811430807842,66.903030000137,104.90717001549265
n_sr__456,68.24062691019864,54.23624355247683,85.04503941525077
n_sr__455,75.35277733618852,59.88883410082349,93.90857336404434
n_sr__454,61.495133706695526,48.87506460627205,76.63845287960606
n_sr__453,66.8843727944035,53.15832073913407,83.35480458070448
n_sr__452,87.42084793376496,69.48028783995699,108.94843431062554
n_sr__451,39.14277659807503,31.109871948965182,48.78177603770134
n_sr__450,61.53947421134685,48.91030552533151,76.6937123362744
n_sr__449,60.201297709283864,47.846750426730225,75.0260067697316
n_sr__448,69.61600450547512,55.329365313098954,86.7591069304139
n_sr__447,50.11079073255233,39.82702348784731,62.45068906807454
n_sr__446,58.12665168412424,46.19786453279189,72.4404743534691
n_sr__445,59.63542504697965,47.39700649965864,74.3207866530846
n_sr__444,70.6902633248695,56.18316407792775,88.09790447337615
n_sr__443,92.96459590348175,73.88634444718568,115.85734306395823
n_sr__442,62.19854941354711,49.43412490983058,77.51508633423747
n_sr__441,73.96082725256841,58.78254086809192,92.17385234688084
n_sr__440,139.76473396988766,111.08212944194202,174.1821235753435
n_sr__439,67.78087451898935,53.87084182930281,84.47207193235961
n_sr__438,72.8307442719759,57.88437421070496,90.7654838136687
n_sr__437,66.99199274560996,53.24385485786982,83.48892619427443
n_sr__436,66.12432162056146,52.55424773389791,82.40758904409948
n_sr__435,66.59268538200152,52.92649359661612,82.99128846709517
n_sr__434,76.60157921589672,60.88135609195017,95.46489560037698
n_sr__433,71.25214148789843,56.629733259318165,88.79814643604522
n_sr__432,57.45493297477874,45.66399634944767,71.6033433554285
n_sr__431,58.03776086841721,46.12721594486772,72.32969396841479
n_sr__430,50.21071015085688,39.90643738177181,62.57521387467167
n_sr__429,74.72402364504414,59.38911362826244,93.12498761949621
n_sr__428,39.18873038154199,31.146395068771092,48.839046046831974
n_sr__427,74.88103596471532,59.51390378327716,93.3206645867182
n_sr__426,57.78639535461632,45.92743581616025,72.01642911437172
n_sr__425,68.80509702197789,54.68487276130341,85.74851160005599
n_sr__424,50.96064763083113,40.50247223160604,63.50982519685828
n_sr__423,66.38641532958529,52.76255441101703,82.73422393629873
n_sr__422,53.407904303346925,42.44750138704825,66.55972449580852
n_sr__421,43.70157401341797,34.73311015939828,54.463187880300346
n_sr__420,74.99925399613575,59.60786103769762,93.46799408231288
n_sr__419,74.72722387046392,59.39165710145647,93.12897590784121
n_sr__418,87.99970875341302,69.94035448674694,109.66984094845873
n_sr__417,80.26700872756808,63.794563908476455,100.03294562289703
n_sr__416,65.20443849985766,51.8231435920799,81.26118257335257
n_sr__415,50.590764703208556,40.208496905517066,63.04885774120923
n_sr__414,74.14765131835318,58.93102478437689,92.40668227177723
n_sr__413,69.06352140801935,54.890263136155745,86.07057358998583
n_sr__412,76.86618264055245,61.09165743931811,95.79465823149803
n_sr__411,76.86618264055245,61.09165743931811,95.79465823149803
n_sr__410,69.6310333143169,55.341309900561775,86.77783661825801
n_sr__409,69.6310333143169,55.341309900561775,86.77783661825801
n_sr__408,96.33554419586518,76.56550466107271,120.05839518456345
n_sr__407,81.9638380616009,65.14316888463965,102.14762311235904
n_sr__406,81.9638380616009,65.14316888463965,102.14762311235904
n_sr__405,140.06077464726764,111.31741646972607,174.5510649555191
n_sr__404,78.54920428716721,62.42928835015381,97.89212785851988
n_sr__403,55.02790182952221,43.73504202614108,68.57865016669207
n_sr__402,44.96745770577781,35.73920842309517,56.04079836523241
n_sr__401,81.22272101391323,64.55414433256196,101.22400427434846
n_sr__400,80.06766355260042,63.63612847272371,99.78451123666733
n_sr__399,77.27860598836274,61.41944301444189,96.30864178438145
n_sr__398,61.721744803344905,49.05517043451631,76.92086748391269
n_sr__397,55.33462036985527,43.978815599286236,68.96089885831591
n_sr__396,62.83905348579167,49.94318434306708,78.31331601845987
n_sr__395,49.88783838662397,39.64982555925443,62.1728341903321
n_sr__394,67.02507105140583,53.2701448134385,83.53015010952217
n_sr__393,56.471650354767256,44.88250359250042,70.37792511175893
n_sr__392,80.64439603788486,64.09450356323505,100.503265432868
n_sr__391,55.73160107421842,44.294327679733655,69.45563698101934
n_sr__390,75.26374426789931,59.8180724534794,93.79761569637986
n_sr__389,82.41062080109238,65.49826259598541,102.70442713674336
n_sr__388,74.09408490565013,58.88845130378125,92.33992500582099
n_sr__387,85.56449166197372,68.0048941421598,106.63494600532339
n_sr__386,59.32250567423921,47.14830463274037,73.93081015970438
n_sr__385,40.713558049302904,32.35829666623248,50.73936606113728
n_sr__384,53.64053585100726,42.63239214565014,66.84964210113824
n_sr__383,69.279952291316,55.0622779406827,86.34030107981182
n_sr__382,79.34802909339211,63.06417783912624,98.88766512432898
n_sr__381,69.35267462247256,55.120076150384115,86.43093145352923
n_sr__380,45.87117608266141,36.45746515974572,57.16705948653617
n_sr__379,43.42817998789947,34.51582222367452,54.12246994248435
n_sr__378,86.64549711381866,68.86405499138488,107.98215155461054
n_sr__377,52.72509037907873,41.904814955600806,65.70876606046052
n_sr__376,79.0480407324569,62.825753273830244,98.513803934375
n_sr__375,73.10762727926857,58.1044351172208,91.1105499031055
n_sr__374,63.79171898533875,50.7003432438121,79.50057760480415
n_sr__373,80.21078404745089,63.74987769173771,99.9628754850161
n_sr__372,89.44873938755885,71.09201416437496,111.47569873398298
n_sr__371,66.60175483971531,52.93370181464877,83.00259129978689
n_sr__370,52.56048191302649,41.773987540029765,65.5036223782092
n_sr__369,78.09541501721785,62.06862599283313,97.3265919293168
n_sr__368,49.807822315118614,39.58623043507734,62.07311397580388
n_sr__367,68.65024767031892,54.561801688677264,85.55553023673129
n_sr__366,55.38043446402136,44.01522769691537,69.01799477933163
n_sr__365,59.921871644200024,47.62466835030468,74.67777138862972
n_sr__364,71.1024380654386,56.510752065141034,88.61157819890916
n_sr__363,62.3903879772097,49.58659424565971,77.75416558873376
n_sr__362,97.10269841521199,77.17522302045352,121.01446290808808
n_sr__361,74.34772285488006,59.09003751732364,92.65602188778323
n_sr__360,63.39852621178706,50.387841732689026,79.01056019965195
n_sr__359,130.48049819583326,103.7032102344314,162.61162322832905
n_sr__358,53.562082224166154,42.570038820283884,66.75186908689336
n_sr__357,68.50813630034402,54.44885450131221,85.37842361259703
n_sr__356,61.4056785688564,48.80396750675026,76.52696920678699
n_sr__355,52.967769692830956,42.097691471567366,66.01120571756512
n_sr__354,43.9712764220769,34.94746407414126,54.79930513205085
n_sr__353,63.99267131412377,50.86005601228892,79.75101491020287
n_sr__352,50.29982015447611,39.97726017573022,62.68626742316943
n_sr__351,81.04067937295014,64.40946138894013,100.99713445746802
n_sr__350,92.54948347845875,73.55642164892603,115.3400082423673
n_sr__349,57.71718839594194,45.87243155204161,71.93017978175617
n_sr__348,74.59594859199706,59.28732221624626,92.96537378785844
n_sr__347,39.544573581608944,31.429211908814516,49.28251645948173
n_sr__346,47.19971880446461,37.51336352838777,58.82275893210666
n_sr__345,65.2079023577272,51.82589659491048,81.265499414249
n_sr__344,57.129510508966305,45.40535728189519,71.19778485333494
n_sr__343,58.749869845855116,46.69318548068474,73.2171614316586
n_sr__342,72.9063515183298,57.94446529153542,90.8597095196357
n_sr__341,68.32010816650356,54.299413616557324,85.14409311509617
n_sr__340,359.57470666558515,285.7825645665411,448.12081139500333
n_sr__339,295.27341529379646,234.67722369432965,367.9851780227956
n_sr__338,356.12593152788185,283.04154918032043,443.82276738807644
n_sr__337,260.48926951860176,207.0315016743526,324.63535574800716
n_sr__336,260.48926951860176,207.0315016743526,324.63535574800716
n_sr__335,198.67135867547364,157.89990045378823,247.59464111417688
n_sr__334,346.1002331700867,275.0733307958,431.32821757794466
n_sr__333,346.1002331700867,275.0733307958,431.32821757794466
n_sr__332,346.1002331700867,275.0733307958,431.32821757794466
n_sr__331,261.8535298405843,208.11578765533278,326.33556833556656
n_sr__330,279.316381775673,221.99490239322455,348.0986880249074
n_sr__329,227.0263261673067,180.43584410555712,282.93208505551775
n_sr__328,227.0263261673067,180.43584410555712,282.93208505551775
n_sr__327,200.59681008377783,159.4302095417553,249.9942393934669
n_sr__326,601.1770352841206,477.8031149498801,749.2182732811417
n_sr__325,428.9448183133612,340.9164993051887,534.5734737817224
n_sr__324,428.9448183133612,340.9164993051887,534.5734737817224
n_sr__323,379.01251972126596,301.23133769113065,472.34523095729776
n_sr__322,379.01251972126596,301.23133769113065,472.34523095729776
n_sr__321,302.18935039618964,240.17386634827432,376.60417816988314
n_sr__320,272.25809007700053,216.38511765110323,339.30227563983556
n_sr__319,316.81832083882585,251.80067049374188,394.8355664825336
n_sr__318,293.49113501347995,233.2607040675503,365.76400709351907
n_sr__317,293.49113501347995,233.2607040675503,365.76400709351907
n_sr__316,386.20079990799604,306.9444346039709,481.3036417968231
n_sr__315,386.20079990799604,306.9444346039709,481.3036417968231
n_sr__314,439.39433126973324,349.2215567961224,547.5962035174017
n_sr__313,296.65335037473415,235.7739676506071,369.70492531502475
