area,cell_label,file,mean_int,rbs,var_int
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos17.ome.tif,4707.08018730124,sd1,56843.54529556908
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,4108.735420159414,sd1,43083.68689412425
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,3780.3029606702185,sd1,37783.544718202684
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,4410.757470650415,sd1,37417.060345744605
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,3729.688695536254,sd1,43744.66470082048
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,4362.083343980487,sd1,42377.88454384162
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos16.ome.tif,4380.165741553332,sd1,171204.28978205714
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,3998.2787470988346,sd1,44708.25902542488
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,4037.3641758072904,sd1,50436.54098679465
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,4229.837675625965,sd1,37708.08240528642
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,3863.149225635156,sd1,49972.64040181654
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,3938.076167307009,sd1,72373.97383640625
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos5.ome.tif,4416.087143383622,sd1,45939.67135028644
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5640.342428226735,sd4,195061.9653200119
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5586.108823101965,sd4,113165.02144286405
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5654.410077967392,sd4,133622.0304492883
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6062.167341606968,sd4,259161.34958262468
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6323.33907619901,sd4,380753.57766431
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6040.478654652365,sd4,379143.1441518648
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4686.778596004123,sd4,41475.73029415288
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4675.80809480074,sd4,45648.31607014512
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4704.961842268662,sd4,38225.88071539867
